id,alias,alias_norm,code_officiel,type,source,created_at
1,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Moselle",conseil d architecture d urbanisme et de l environnement caue moselle,319998019,groupement,annuaire-sp,2026-01-19 22:02:32.213
2,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Rhône",conseil d architecture d urbanisme et de l environnement caue rhone,900069000,groupement,annuaire-sp,2026-01-19 22:02:32.237
3,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Ardèche",conseil d architecture d urbanisme et de l environnement caue ardeche,316487420,groupement,annuaire-sp,2026-01-19 22:02:32.252
4,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Gard",conseil d architecture d urbanisme et de l environnement caue gard,323139063,groupement,annuaire-sp,2026-01-19 22:02:32.262
5,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Val-d'Oise",conseil d architecture d urbanisme et de l environnement caue val d oise,319588240,groupement,annuaire-sp,2026-01-19 22:02:32.271
6,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Alpes-Maritimes",conseil d architecture d urbanisme et de l environnement caue alpes maritimes,318845740,groupement,annuaire-sp,2026-01-19 22:02:32.282
7,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Hautes-Alpes",conseil d architecture d urbanisme et de l environnement caue hautes alpes,317167773,groupement,annuaire-sp,2026-01-19 22:02:32.288
8,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Paris",conseil d architecture d urbanisme et de l environnement caue paris,900075000,groupement,annuaire-sp,2026-01-19 22:02:32.298
9,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Guyane",conseil d architecture d urbanisme et de l environnement caue guyane,319244059,groupement,annuaire-sp,2026-01-19 22:02:32.314
10,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Eure",conseil d architecture d urbanisme et de l environnement caue eure,317220085,groupement,annuaire-sp,2026-01-19 22:02:32.322
11,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Oise",conseil d architecture d urbanisme et de l environnement caue oise,318800083,groupement,annuaire-sp,2026-01-19 22:02:32.33
12,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Corrèze",conseil d architecture d urbanisme et de l environnement caue correze,315816702,groupement,annuaire-sp,2026-01-19 22:02:32.34
13,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Nord",conseil d architecture d urbanisme et de l environnement caue nord,321895096,groupement,annuaire-sp,2026-01-19 22:02:32.354
14,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Guadeloupe",conseil d architecture d urbanisme et de l environnement caue guadeloupe,324522457,groupement,annuaire-sp,2026-01-19 22:02:32.359
15,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Gironde",conseil d architecture d urbanisme et de l environnement caue gironde,318336773,groupement,annuaire-sp,2026-01-19 22:02:32.366
16,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Cantal",conseil d architecture d urbanisme et de l environnement caue cantal,450291356,groupement,annuaire-sp,2026-01-19 22:02:32.389
17,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Doubs",conseil d architecture d urbanisme et de l environnement caue doubs,393652755,groupement,annuaire-sp,2026-01-19 22:02:32.4
18,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Essonne",conseil d architecture d urbanisme et de l environnement caue essonne,316561034,groupement,annuaire-sp,2026-01-19 22:02:32.407
19,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Orne",conseil d architecture d urbanisme et de l environnement caue orne,318801479,groupement,annuaire-sp,2026-01-19 22:02:32.415
20,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Somme",conseil d architecture d urbanisme et de l environnement caue somme,321935587,groupement,annuaire-sp,2026-01-19 22:02:32.423
