groupement_siren,adhesion_siren
200000099,200043115
200000172,200001402
200000172,200024016
200000172,200026169
200000172,200031268
200000172,200031276
200000172,200036440
200000172,200061315
200000172,200075372
200000172,247400401
200000172,247400559
200000172,247400799
200000172,257400085
200000172,257401943
200000172,257402651
200000438,200014926
200000438,200025815
200000438,200028827
200000438,200055127
200000438,200078905
200000438,200087922
200000438,200091296
200000438,254400955
200000438,254400963
200000438,254401094
200000438,254401243
200000438,254401987
200000438,254402282
200000438,254402522
200000545,200062107
200000545,200075471
200000545,200080893
200000545,200093391
200000545,251001335
200000545,251002531
200000545,251002598
200000586,250601879
200000628,200078624
200000628,200087393
200000628,252602552
200000628,258403005
200000800,200046050
200000800,254100415
200000800,254102254
200000800,254103179
200000800,254103245
200000925,200043867
200000925,200049922
200000925,200078855
200000925,200080448
200000925,200094951
200000925,200095339
200000925,252109053
200000925,252109368
200000925,252109384
200000925,252109434
200000925,252109459
200000933,200041481
200000933,200078459
200000933,200078491
200000933,200091247
200000933,241800549
200000933,251803045
200000933,254102254
200000933,254103179
200001238,251101549
200001485,259400034
200002541,257400150
200003325,200054765
200003713,254502008
200003820,255300493
200003879,200045037
200003986,254003304
200004604,200008589
200004802,200033702
200004802,200047611
200004802,200071397
200004802,250401072
200004802,250601879
200004802,258300540
200004802,258300581
200004802,258301381
200004802,258301555
200004802,258302629
200004802,258302744
200005171,254003304
200005932,200073831
200005932,200074110
200005932,200075364
200005932,244500369
200005932,254100415
200005932,254102874
200005932,254103179
200005932,254500119
200005932,254501604
200005932,254501638
200005932,254503030
200005957,200028629
200005957,200048726
200005957,258801422
200005957,258803436
200005957,258803642
200006369,200045037
200006682,200017747
200006682,200026599
200006682,200043867
200006682,200049922
200006682,200074557
200006682,200089944
200006682,200094951
200006682,252106612
200006682,252106653
200006682,252107081
200006682,252107701
200006682,252107818
200006682,252109103
200006682,257100016
200006682,257100289
200006682,257101873
200006682,257102541
200006682,257103341
200006682,257104059
200006716,200062107
200006716,200075471
200006716,251002531
200006930,254300718
200006930,254800022
200006930,254800550
200006930,254800584
200006930,254800691
200006971,200017689
200006971,200030666
200006971,200033942
200006971,200059533
200006971,200059772
200006971,252800107
200006971,252801329
200006971,252801345
200006971,252803200
200006971,252803465
200006971,252855713
200006971,256103888
200007052,200022382
200007052,200079747
200007052,200085603
200007052,253600217
200007052,253602650
200007136,254003304
200007177,200041481
200007177,200078707
200007177,200079036
200007177,200086254
200007177,241800549
200007177,251801817
200007177,251802138
200007177,251802179
200007177,251802310
200007177,251887873
200007177,251887972
200007300,200043115
200007730,255300493
200007979,251702320
200008423,939343356
200008571,256404393
200009314,254600877
200009314,453372997
200009579,250700374
200009777,251200861
200009967,200015899
200010650,200008365
200010650,200032928
200010650,200044121
200010650,200044352
200010650,200082014
200010650,200091429
200010650,200091437
200010650,200091445
200010650,200091452
200010650,200091759
200010650,253900633
200010650,253901094
200010650,253901821
200010650,253906333
200010650,253906416
200010650,257103218
200010700,200045060
200010700,200052488
200010700,200072866
200010700,200092492
200010700,257600874
200010700,257601989
200010700,257602375
200010700,257602581
200010700,257602847
200010700,257603548
200010700,257603894
200010700,257604405
200010700,257604421
200010700,257604538
200010700,257604561
200010700,257604801
200011773,200005551
200011773,200024016
200011773,200075372
200011773,257400150
200011773,257401240
200011773,257401620
200011773,257401729
200011773,257401943
200011773,257402081
200011773,257402529
200011773,257402636
200011773,257402651
200011773,989160122
200011781,200041481
200011781,200049948
200011781,200079036
200011781,241800549
200011781,251801817
200011781,251802179
200011781,251807574
200011781,251887972
200011781,254502008
200011948,251702320
200013019,200052546
200013050,200084986
200013050,200086080
200013050,256700691
200013050,256701152
200013050,256701244
200013050,256702408
200013050,256703075
200014801,250601879
200015162,200009827
200015162,242000438
200015162,252020433
200015162,252020458
200016350,250702156
200016905,200008027
200016905,200094571
200016905,250700135
200016905,250700374
200016905,250702388
200016905,250702412
200017341,200008266
200017341,200017127
200017341,200017291
200017341,200018679
200017341,200042679
200017341,200094977
200017341,243400314
200017341,251201349
200017341,253401459
200017341,253401715
200017341,253403109
200017341,253403232
200017341,253403604
200017846,200020675
200017846,200066090
200017846,200066959
200017846,200071264
200017846,200072908
200017846,200077139
200017846,200077832
200017846,200081370
200017846,200087740
200017846,200093136
200017846,252800065
200017846,254500739
200017846,259100378
200017846,259100832
200017846,259101194
200017846,259101558
200017846,259101665
200017846,259101988
200017846,259102242
200017846,259102564
200018042,258801901
200018083,200013589
200018083,200023505
200018083,256202102
200018083,256203845
200018083,256203886
200018083,256204090
200018083,256204256
200018166,200010452
200018166,200080679
200018166,253800593
200018166,253800825
200018166,253801450
200018166,253802797
200018166,253803316
200018166,253804025
200018166,253804314
200018166,253804363
200018166,253804587
200018166,253804652
200018166,253804967
200018166,253805105
200018406,200046050
200018406,200078459
200018406,200078467
200018406,200102374
200018406,254100415
200018406,254100472
200018406,254100746
200018406,254100837
200018406,254103179
200018406,254177785
200018406,254502008
200018406,938903010
200018406,938939741
200018521,200022382
200018521,200079747
200018521,200085603
200018521,253600217
200018521,253601207
200018521,253602650
200018521,253609747
200018653,200044709
200018653,259710218
200018729,200015840
200019099,200045037
200019859,254200546
200020048,254003304
200020279,257702266
200020550,254702582
200020626,256404393
200021897,256103698
200022986,200006377
200022986,200009884
200022986,200018679
200022986,253002539
200022986,253400725
200022986,253401459
200022986,253401699
200022986,253401715
200022986,253401822
200022986,253401830
200022986,253401913
200022986,253403216
200022986,253403620
200023042,258801901
200023075,200029502
200023075,200037729
200023075,200049450
200023075,200078699
200023075,200094852
200023075,200096295
200023075,252500533
200023075,252506514
200023075,252507967
200023075,252508288
