id,nom,type,siren,geo_mode,groupement_siren,departement_code,region_code,adresse,code_postal,ville,latitude,longitude,telephone,finess,finess_ej,categorie_finess,created_at,updated_at,created_by
cmkxaf5yr0001ltim1kzarxlz,groupement des Mauges,COMMUNAUTE_COMMUNES,,TERRITOIRE,,49,52,,,,,,,,,,2026-01-28 00:29:04.372,2026-01-28 00:29:04.372,
cmkxaf5z90005ltim9hy4sxlr,SYNDICAT DEPARTEMENTAL D'ENERGIE 35,SYNDICAT_ENERGIE,200050425,TERRITOIRE,,35,53,,,,,,,,,,2026-01-28 00:29:04.389,2026-01-30 14:08:03.06,
cmkxaf5zf0009ltimiqu99jo0,ALEC Marseille Métropole,ALEC,522992246,TERRITOIRE,,13,93,,,,,,,,,,2026-01-28 00:29:04.396,2026-01-30 14:22:25.746,
cmkxaf5zp000dltimw68gxu4n,Bordeaux Métropole,COMMUNAUTE_COMMUNES,243300316,TERRITOIRE,,33,75,,,,,,,,,,2026-01-28 00:29:04.405,2026-01-30 14:06:07.864,
cmkxaf5zw000hltim9j46iudb,Communauté d'Agglomération de Nîmes Métropole,COMMUNAUTE_COMMUNES,,TERRITOIRE,,30,76,,,,,,,,,,2026-01-28 00:29:04.412,2026-01-28 00:29:04.412,
cmkxaf604000lltimhdyeom6r,ALEC Ouest Essonne,COMMUNAUTE_COMMUNES,527977888,TERRITOIRE,,91,11,,,,,,,,,,2026-01-28 00:29:04.42,2026-01-30 14:06:03.936,
cmkxaf60a000pltimd8fpm9s8,SYDEV,SYNDICAT_ENERGIE,200076002,TERRITOIRE,,85,52,,,,,,,,,,2026-01-28 00:29:04.427,2026-01-30 14:07:59.469,
cmkxaf60i000tltimv2uyolmo,Ville de Tarare,COMMUNAUTE_COMMUNES,,TERRITOIRE,,69,84,,,,,,,,,,2026-01-28 00:29:04.435,2026-01-28 00:29:04.435,
cmkxaf60q000xltim52ejvr7v,Villeurbanne,COMMUNAUTE_COMMUNES,,TERRITOIRE,,69,84,,,,,,,,,,2026-01-28 00:29:04.442,2026-01-28 00:29:04.442,
cmkxaf60y0011ltim1n3bzo25,Dinan,COMMUNAUTE_COMMUNES,,TERRITOIRE,,22,53,,,,,,,,,,2026-01-28 00:29:04.451,2026-01-28 00:29:04.451,
cmkxaf61b0017ltimf68x98n4,CA Puy-en-Velay,COMMUNAUTE_COMMUNES,,TERRITOIRE,,43,84,,,,,,,,,,2026-01-28 00:29:04.464,2026-01-28 00:29:04.464,
cmkxaf61i001bltim8jqklfh1,Métropole de Lyon,COMMUNAUTE_COMMUNES,200046977,TERRITOIRE,,69,84,,,,,,,,,,2026-01-28 00:29:04.47,2026-01-30 14:07:25.977,
cmkxaf61p001fltimgx1kkyc1,Saint Etienne Métropole,COMMUNAUTE_COMMUNES,,TERRITOIRE,,42,84,,,,,,,,,,2026-01-28 00:29:04.477,2026-01-28 00:29:04.477,
cmkxaf61v001jltimrmfib9ww,FDE80,SYNDICAT_ENERGIE,,TERRITOIRE,,80,32,,,,,,,,,,2026-01-28 00:29:04.483,2026-01-28 00:29:04.483,
cmkxaf621001nltimmonb1v5x,SIEL TERRITOIRE D'ENERGIE LOIRE - (SIEL TE LOIRE),SYNDICAT_ENERGIE,,TERRITOIRE,,42,84,,,,,,,,,,2026-01-28 00:29:04.489,2026-01-28 00:29:04.489,
cmkxaf626001rltimr447i820,Guipry-messac,COMMUNAUTE_COMMUNES,,TERRITOIRE,,35,53,,,,,,,,,,2026-01-28 00:29:04.495,2026-01-28 00:29:04.495,
cmkxaf62c001vltimcinag9rd,Lannion Tregor Communauté,COMMUNAUTE_COMMUNES,,TERRITOIRE,,22,53,,,,,,,,,,2026-01-28 00:29:04.5,2026-01-28 00:29:04.5,
cmkxaf62j001zltimy6rhva9k,CHU NANTES / MAPES,SYNDICAT_ENERGIE,264400152,TERRITOIRE,,44,52,,,,,,,,,,2026-01-28 00:29:04.507,2026-01-30 14:22:26.59,
cmkxaf62q0023ltimck0kywuh,DEPARTEMENT DE L HERAULT,COMMUNAUTE_COMMUNES,,TERRITOIRE,,34,76,,,,,,,,,,2026-01-28 00:29:04.514,2026-01-28 00:29:04.514,
cmkxaf62x0027ltim33b8hmx8,Département du Loiret,COMMUNAUTE_COMMUNES,,TERRITOIRE,,45,24,,,,,,,,,,2026-01-28 00:29:04.521,2026-01-28 00:29:04.521,
cmkxaf634002bltimj9ovs68p,Ville de Fontenay-aux-Roses,COMMUNAUTE_COMMUNES,,TERRITOIRE,,92,11,,,,,,,,,,2026-01-28 00:29:04.529,2026-01-28 00:29:04.529,
cmkxaf63e002hltim2f3j1iev,SIEL TERRITOIRE D'ENERGIE LOIRE - (SIEL TE LOIRE),COMMUNAUTE_COMMUNES,254200546,TERRITOIRE,,42,84,,,,,,,,,,2026-01-28 00:29:04.538,2026-01-30 14:07:54.656,
